Scheme Name,Net Asset Value,
,,
Open Ended Schemes(Debt Scheme - Banking and PSU Fund),,
,,
Aditya Birla Sun Life Mutual Fund,,
,,
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,111.556,
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,114.412,
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,112.4881,
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,157.8807,
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.1422,
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,109.3838,
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,111.0013,
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,112.1657,
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,312.5014,
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,469.1048,
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,321.9595,
,,
Axis Mutual Fund,,
,,
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.131,
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2314.1629,
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1034.8115,
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1039.2223,
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1039.1303,
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2257.9582,
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1034.7291,
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1039.2032,
,,
Bandhan Mutual Fund,,
,,
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,12.0513,
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,10.4768,
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.478,
BANDHAN Banking & PSU Debt Fund - Direct Growth,21.6003,
BANDHAN Banking & PSU Debt Fund - Direct IDCW,11.3629,
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,10.4416,
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,10.8242,
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.111,
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,10.8788,
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6335,
BANDHAN Banking & PSU Debt Fund - Regular Growth,21.1254,
BANDHAN Banking & PSU Debt Fund - Regular IDCW,11.4076,
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,10.6854,
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,10.7332,
,,
Baroda BNP Paribas Mutual Fund,,
,,
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.1898,
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,10.9366,
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.3171,
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,10.8297,
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.1583,
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.217,
,,
Canara Robeco Mutual Fund,,
,,
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,10.4258,
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.4256,
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,10.4053,
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.4054,
,,
DSP Mutual Fund,,
,,
DSP Banking & PSU Debt Fund - Direct Plan - Growth,21.0807,
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.3233,
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.16,
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.2326,
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly,10.3226,
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.16,
DSP Banking & PSU Debt Fund - Regular Plan - Growth,20.4766,
DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.32,
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.16,
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.2263,
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,10.3194,
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.16,
,,
Edelweiss Mutual Fund,,
,,
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,21.7257,
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.2756,
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.6034,
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.9449,
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5715,
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,21.107,
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,17.6715,
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,14.2244,
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.1903,
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1671,
,,
Franklin Templeton Mutual Fund,,
,,
Franklin India Banking & PSU Debt Fund - Direct - Growth,19.9004,
Franklin India Banking & PSU Debt Fund - Growth,19.1853,
Franklin India Banking and PSU Debt Fund - Direct - IDCW,10.8843,
Franklin India Banking and PSU Debt Fund - IDCW,10.3637,
,,
HDFC Mutual Fund,,
,,
HDFC Banking and PSU Debt Fund - Growth Option,19.6103,
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,20.2458,
HDFC Banking and PSU Debt Fund - IDCW Option,10.1502,
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0404,
,,
HSBC Mutual Fund,,
,,
HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1907,
HSBC Banking and PSU Debt Fund - Direct Growth,21.8022,
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.346,
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.3645,
HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.116,
HSBC Banking and PSU Debt Fund - Regular Growth,20.8677,
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.8068,
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3368,
,,
ICICI Prudential Mutual Fund,,
,,
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549,
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427,
ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,28.7868,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.6965,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665,
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098,
ICICI Prudential Banking and PSU Debt Fund - Growth,27.8188,
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.7635,
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261,
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122,
ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631,
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305,
,,
Invesco Mutual Fund,,
,,
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment),1010.1711,
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option,2054.1201,
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment),1031.7301,
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1011.4713,
Invesco India Banking & PSU Debt Fund - Growth Option,1932.3177,
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment),1031.2432,
,,
ITI Mutual Fund,,
,,
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,11.3326,
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,11.3326,
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,11.1761,
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,11.1761,
,,
Kotak Mahindra Mutual Fund,,
,,
Kotak Banking and PSU Debt - Annual Dividend,16.1842,
Kotak Banking and PSU Debt - Daily Dividend Reinvestment,10.188,
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,10.2604,
Kotak Banking and PSU Debt - Growth,55.7559,
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,10.5379,
Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427,
Kotak Banking and PSU Debt Direct - Growth,57.5979,
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.3246,
,,
LIC Mutual Fund,,
,,
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW,12.8579,
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth,31.7779,
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW,11.968,
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW,10.0609,
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW,10.8899,
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth,29.7888,
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW,11.1488,
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW,10.0582,
,,
Mirae Asset Mutual Fund,,
,,
Mirae Asset Banking and PSU Debt Fund Direct Growth,11.2565,
Mirae Asset Banking and PSU Debt Fund Direct IDCW,11.2562,
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan,11.1184,
Mirae Asset Banking and PSU Debt Fund Regular IDCW,11.1193,
,,
Nippon India Mutual Fund,,
,,
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,18.2398,
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,18.2396,
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option,12.3452,
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,17.724,
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,18.2396,
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,10.6939,
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,10.819,
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,10.2962,
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,17.724,
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,10.6295,
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,10.7649,
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,10.2966,
,,
PGIM India Mutual Fund,,
,,
PGIM India Banking and PSU Debt fund - Bonus,13.3974,
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend,10.2033,
PGIM India Banking and PSU Debt fund - Monthly Dividend,10.7742,
PGIM India Banking and PSU Debt fund - Quarterly Bonus,11.6111,
PGIM India Banking and PSU Debt fund - Quarterly Dividend,10.6211,
PGIM India Banking and PSU Debt Fund - Regular Dividend,10.1923,
PGIM India Banking and PSU Debt fund - Weekly Dividend,10.2735,
PGIM India Banking and PSU Debt fund -Growth,20.8546,
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus,13.6246,
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus,15.2364,
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend,11.0995,
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend,10.9284,
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend,10.6814,
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend,10.2259,
PGIM India Banking and PSU Debt fund- Direct Plan-Growth,21.8468,
,,
SBI Mutual Fund,,
,,
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1236.8953,
SBI BANKING & PSU FUND - Direct Plan - Growth,2808.1083,
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1200.0994,
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1234.1469,
SBI BANKING & PSU FUND - Regular Paln - Growth,2668.422,
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1217.4092,
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1142.196,
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1217.1541,
,,
Sundaram Mutual Fund,,
,,
Sundaram Banking & PSU Debt Fund - Direct Growth,11.7065,
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend,11.4008,
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend,10.6356,
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus,11.6319,
Sundaram Banking & PSU Debt Fund - Regular Growth,11.6493,
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend,11.1411,
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus,11.1681,
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend,10.1418,
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend,11.0236,
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus,18.5532,
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.23,
Sundaram Banking and PSU Debt Fund Direct Plan - Growth,37.0865,
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5788,
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus,18.4953,
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.355,
Sundaram Banking and PSU Debt Fund Regular Plan - Growth,36.6772,
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.6313,
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.1038,
Sundaram Banking and PSU Debt Fund Retail Plan - Growth,33.0539,
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5357,
